Order_id,Total_price,Unique_pizza_count,Total_quantity,Order_date,Unit_price,Max_pizza_size,Min_pizza_size,Unique_pizza_category_count
56,53,3,3,1/1/2015,17.666666666666668,L,M,3
57,16,1,1,1/1/2015,16,M,M,1
58,31,2,2,1/1/2015,15.5,L,M,2
59,39,3,3,1/1/2015,13,L,S,2
60,35.5,2,2,1/1/2015,17.75,L,M,2
61,37.5,2,2,1/1/2015,18.75,L,M,2
62,33.25,2,2,1/1/2015,16.625,M,M,2
63,14.5,1,1,1/1/2015,14.5,M,M,1
64,12,1,1,1/1/2015,12,S,S,1
65,52.25,4,4,1/1/2015,13.0625,M,S,2
66,32,2,2,1/1/2015,16,M,M,1
67,20.75,1,1,1/1/2015,20.75,L,L,1
68,53.25,3,3,1/1/2015,17.75,L,M,2
69,20.75,1,1,1/1/2015,20.75,L,L,1
70,33.5,2,2,1/2/2015,16.75,L,S,2
71,20.75,1,1,1/2/2015,20.75,L,L,1
72,20.25,1,1,1/2/2015,20.25,L,L,1
73,12.75,1,1,1/2/2015,12.75,S,S,1
74,72,4,4,1/2/2015,18,L,S,2
75,53.25,3,3,1/2/2015,17.75,L,S,3
76,70.25,4,4,1/2/2015,17.5625,L,S,3
77,30,2,2,1/2/2015,15,M,M,2
78,132.95,6,8,1/2/2015,15.241666666666667,L,S,4
79,52.25,3,3,1/2/2015,17.416666666666668,L,S,2
80,26.5,2,2,1/2/2015,13.25,M,S,2
81,20.75,1,1,1/2/2015,20.75,L,L,1
82,65.5,4,4,1/2/2015,16.375,L,S,4
83,12.75,1,1,1/2/2015,12.75,S,S,1
84,15.25,1,1,1/2/2015,15.25,L,L,1
85,64.75,4,4,1/2/2015,16.1875,L,S,2
86,16.5,1,1,1/2/2015,16.5,L,L,1
87,65.25,4,4,1/2/2015,16.3125,L,S,3
88,18.5,1,1,1/2/2015,18.5,L,L,1
89,41.5,2,2,1/2/2015,20.75,L,L,2
90,33,2,2,1/2/2015,16.5,L,S,2
91,64,3,4,1/2/2015,14.416666666666666,L,S,2
92,152.25,9,10,1/2/2015,15.13888888888889,L,S,4
93,16.25,1,1,1/2/2015,16.25,M,M,1
94,28.75,2,2,1/2/2015,14.375,M,S,2
95,32.75,2,2,1/2/2015,16.375,L,S,2
96,12,1,1,1/2/2015,12,S,S,1
97,12,1,1,1/2/2015,12,S,S,1
98,41,2,2,1/2/2015,20.5,L,L,1
99,20.75,1,1,1/2/2015,20.75,L,L,1
100,16.5,1,1,1/2/2015,16.5,L,L,1
101,73.25,4,4,1/2/2015,18.3125,L,M,3
102,25.25,2,2,1/2/2015,12.625,S,S,2
103,12.5,1,1,1/2/2015,12.5,S,S,1
104,70.5,4,4,1/2/2015,17.625,L,M,2
105,52.75,3,4,1/2/2015,14.083333333333334,L,S,2
106,41,2,2,1/2/2015,20.5,L,L,2
107,78.25,4,4,1/2/2015,19.5625,L,M,3
108,57.75,3,3,1/2/2015,19.25,L,L,2
109,74.5,4,4,1/2/2015,18.625,L,M,2
110,65.75,4,4,1/2/2015,16.4375,L,S,2
111,68.5,4,4,1/2/2015,17.125,L,M,3
112,9.75,1,1,1/2/2015,9.75,S,S,1
113,57.75,3,3,1/2/2015,19.25,L,M,2
114,27.5,2,2,1/2/2015,13.75,L,S,2
115,49.25,3,3,1/2/2015,16.416666666666668,L,S,2
116,18.5,1,1,1/2/2015,18.5,L,L,1
117,36.75,2,2,1/2/2015,18.375,L,M,1
118,32.75,2,2,1/2/2015,16.375,L,S,2
119,14.75,1,1,1/2/2015,14.75,M,M,1
120,42.75,3,3,1/2/2015,14.25,L,S,2
121,75.7,4,4,1/2/2015,18.925,L,M,3
122,16.5,1,1,1/2/2015,16.5,M,M,1
123,12,1,1,1/2/2015,12,S,S,1
124,65.75,4,4,1/2/2015,16.4375,L,S,3
125,25.5,1,1,1/2/2015,25.5,XL,XL,1
126,20.25,1,1,1/2/2015,20.25,L,L,1
127,12.5,1,1,1/2/2015,12.5,M,M,1
128,12.5,1,1,1/2/2015,12.5,S,S,1
129,28,2,2,1/2/2015,14,M,S,1
130,59.75,4,4,1/2/2015,14.9375,L,S,3
131,63.75,4,4,1/2/2015,15.9375,L,S,3
132,9.75,1,1,1/2/2015,9.75,S,S,1
133,49.25,3,3,1/2/2015,16.416666666666668,L,S,2
134,45.25,3,3,1/2/2015,15.083333333333334,L,S,3
135,20.25,1,1,1/2/2015,20.25,L,L,1
136,31,2,2,1/2/2015,15.5,L,S,2
137,46.5,3,3,1/3/2015,15.5,L,S,3
138,71.95,4,4,1/3/2015,17.9875,L,M,3
139,18.5,1,1,1/3/2015,18.5,L,L,1
140,28.5,2,2,1/3/2015,14.25,M,S,2
141,16,1,1,1/3/2015,16,M,M,1
142,16,1,1,1/3/2015,16,M,M,1
143,121.75,8,8,1/3/2015,15.21875,L,S,4
144,238.45,12,14,1/3/2015,17.079166666666666,L,S,4
145,12,1,1,1/3/2015,12,S,S,1
146,48.75,3,3,1/3/2015,16.25,L,M,3
147,25.5,1,1,1/3/2015,25.5,XL,XL,1
148,12,1,1,1/3/2015,12,S,S,1
149,16,1,1,1/3/2015,16,M,M,1
150,12.5,1,1,1/3/2015,12.5,M,M,1
151,33.25,2,2,1/3/2015,16.625,L,S,2
152,59.5,4,4,1/3/2015,14.875,L,S,3
153,16,1,1,1/3/2015,16,M,M,1
154,12.5,1,1,1/3/2015,12.5,S,S,1
155,69.25,4,4,1/3/2015,17.3125,L,S,3
156,36.75,2,2,1/3/2015,18.375,L,M,2
157,69.5,4,4,1/3/2015,17.375,L,M,2
158,33.5,2,2,1/3/2015,16.75,M,M,2
159,34.7,2,2,1/3/2015,17.35,L,M,2
160,16,1,1,1/3/2015,16,M,M,1
161,52.5,3,3,1/3/2015,17.5,M,XL,2
162,12,1,1,1/3/2015,12,S,S,1
163,44.5,3,3,1/3/2015,14.833333333333334,L,M,1
164,33.25,2,2,1/3/2015,16.625,L,M,2
165,16.5,1,1,1/3/2015,16.5,M,M,1
166,12.5,1,1,1/3/2015,12.5,S,S,1
167,49.75,3,3,1/3/2015,16.583333333333332,L,M,3
168,28,2,2,1/3/2015,14,M,S,2
169,46.2,3,3,1/3/2015,15.4,L,S,3
170,16.5,1,1,1/3/2015,16.5,L,L,1
171,16,1,1,1/3/2015,16,M,M,1
172,49.25,3,3,1/3/2015,16.416666666666668,L,S,3
173,53,3,3,1/3/2015,17.666666666666668,L,M,3
174,65.5,4,4,1/3/2015,16.375,L,S,2
175,20.75,1,1,1/3/2015,20.75,L,L,1
176,37.25,2,2,1/3/2015,18.625,L,M,2
177,32.75,2,2,1/3/2015,16.375,L,S,2
178,20.75,1,1,1/3/2015,20.75,L,L,1
179,44.75,3,3,1/3/2015,14.916666666666666,L,S,3
180,41.25,2,2,1/3/2015,20.625,L,L,2
181,20.25,1,1,1/3/2015,20.25,L,L,1
182,44.4,2,2,1/3/2015,22.2,L,S,1
183,49.25,3,3,1/3/2015,16.416666666666668,L,S,2
184,16.5,1,1,1/3/2015,16.5,L,L,1
185,28.75,2,2,1/3/2015,14.375,M,S,2
186,82.5,4,4,1/3/2015,20.625,L,L,2
187,39.25,2,2,1/3/2015,19.625,L,L,1
188,49,3,3,1/3/2015,16.333333333333332,L,S,3
189,36.75,2,3,1/3/2015,12.375,S,S,2
190,67.25,4,4,1/3/2015,16.8125,L,S,4
191,37.5,2,2,1/3/2015,18.75,L,M,1
192,33,2,2,1/3/2015,16.5,L,S,2
193,70.25,3,4,1/3/2015,16.5,L,S,2
194,12.75,1,1,1/3/2015,12.75,S,S,1
195,20.75,1,1,1/3/2015,20.75,L,L,1
196,44.75,3,3,1/3/2015,14.916666666666666,M,S,2
197,80.2,4,4,1/3/2015,20.05,L,L,3
198,32.75,2,2,1/3/2015,16.375,L,S,2
199,16.75,1,1,1/3/2015,16.75,M,M,1
200,25.5,1,1,1/3/2015,25.5,XL,XL,1
201,83.25,4,4,1/3/2015,20.8125,L,XL,3
202,12.75,1,1,1/3/2015,12.75,S,S,1
203,67,4,4,1/4/2015,16.75,L,S,3
204,20.75,1,1,1/4/2015,20.75,L,L,1
205,42,3,3,1/4/2015,14,M,S,2
206,46.5,3,3,1/4/2015,15.5,L,S,2
207,20.75,1,1,1/4/2015,20.75,L,L,1
208,78.75,5,5,1/4/2015,15.75,L,S,2
209,20.75,1,1,1/4/2015,20.75,L,L,1
210,12,1,1,1/4/2015,12,S,S,1
211,9.75,1,1,1/4/2015,9.75,S,S,1
212,20.5,1,1,1/4/2015,20.5,L,L,1
213,17.95,1,1,1/4/2015,17.95,L,L,1
214,65.5,4,4,1/4/2015,16.375,L,S,3
215,12,1,1,1/4/2015,12,S,S,1
216,51.75,3,3,1/4/2015,17.25,L,M,3
217,28,2,2,1/4/2015,14,M,S,2
218,16.5,1,1,1/4/2015,16.5,M,M,1
219,71.75,4,4,1/4/2015,17.9375,L,M,3
220,63.75,4,4,1/4/2015,15.9375,L,S,2
221,47,3,3,1/4/2015,15.666666666666666,L,S,3
222,30.2,2,2,1/4/2015,15.1,L,S,2
223,11,1,1,1/4/2015,11,S,S,1
224,66,4,4,1/4/2015,16.5,L,S,3
225,50.25,3,3,1/4/2015,16.75,L,S,1
226,20.5,1,1,1/4/2015,20.5,L,L,1
227,32.75,2,2,1/4/2015,16.375,M,M,2
228,12.75,1,1,1/4/2015,12.75,S,S,1
229,54.25,3,3,1/4/2015,18.083333333333332,L,S,2
230,16.75,1,1,1/4/2015,16.75,M,M,1
231,45.25,3,3,1/4/2015,15.083333333333334,L,S,3
232,37.5,2,2,1/4/2015,18.75,L,M,2
233,12,1,1,1/4/2015,12,S,S,1
234,45.25,3,3,1/4/2015,15.083333333333334,M,S,3
235,16.75,1,1,1/4/2015,16.75,M,M,1
236,36.5,2,2,1/4/2015,18.25,L,M,2
237,12,1,1,1/4/2015,12,S,S,1
238,20.75,1,1,1/4/2015,20.75,L,L,1
239,37.5,2,2,1/4/2015,18.75,L,M,2
240,14.75,1,1,1/4/2015,14.75,M,M,1
241,37,2,2,1/4/2015,18.5,L,M,1
242,53,3,3,1/4/2015,17.666666666666668,L,M,3
243,33,2,2,1/4/2015,16.5,L,S,2
244,33.25,2,2,1/4/2015,16.625,L,S,1
245,41.5,2,2,1/4/2015,20.75,L,L,1
246,32,2,2,1/4/2015,16,L,M,2
247,42,3,3,1/4/2015,14,M,S,2
248,31.25,2,2,1/4/2015,15.625,L,S,2
249,33,2,2,1/4/2015,16.5,L,S,2
250,14.75,1,1,1/4/2015,14.75,M,M,1
251,16,1,1,1/4/2015,16,M,M,1
252,16.5,1,1,1/4/2015,16.5,M,M,1
253,23.65,1,1,1/4/2015,23.65,S,S,1
254,62.9,3,3,1/4/2015,20.966666666666665,L,S,3
255,67,4,4,1/5/2015,16.75,L,M,2
256,17.5,1,1,1/5/2015,17.5,L,L,1
257,41.5,2,2,1/5/2015,20.75,L,L,1
258,16,1,1,1/5/2015,16,M,M,1
259,15.25,1,1,1/5/2015,15.25,L,L,1
260,39,2,2,1/5/2015,19.5,L,L,2
261,23.65,1,1,1/5/2015,23.65,S,S,1
262,16.75,1,1,1/5/2015,16.75,M,M,1
263,20.75,1,1,1/5/2015,20.75,L,L,1
264,16,1,1,1/5/2015,16,M,M,1
265,74,4,4,1/5/2015,18.5,L,M,3
266,16.5,1,1,1/5/2015,16.5,M,M,1
267,50.2,3,3,1/5/2015,16.733333333333334,L,S,2
268,30.5,2,2,1/5/2015,15.25,L,S,2
269,16.75,1,1,1/5/2015,16.75,M,M,1
270,62.25,3,3,1/5/2015,20.75,L,L,2
271,210.5,10,13,1/5/2015,15.625,L,S,3
272,16.5,1,1,1/5/2015,16.5,M,M,1
273,12.5,1,1,1/5/2015,12.5,S,S,1
274,38.7,2,2,1/5/2015,19.35,L,L,2
275,65,4,4,1/5/2015,16.25,L,S,3
276,39.25,2,2,1/5/2015,19.625,L,L,2
277,14.75,1,1,1/5/2015,14.75,M,M,1
278,37.5,2,2,1/5/2015,18.75,L,M,2
279,33.5,2,2,1/5/2015,16.75,M,M,1
280,32.5,2,2,1/5/2015,16.25,M,M,2
281,12.25,1,1,1/5/2015,12.25,S,S,1
282,72,4,4,1/5/2015,18,L,S,3
283,16,1,1,1/5/2015,16,M,M,1
284,41.25,3,3,1/5/2015,13.75,M,S,2
285,20.75,1,1,1/5/2015,20.75,L,L,1
286,37.25,2,2,1/5/2015,18.625,L,M,1
287,55.75,4,4,1/5/2015,13.9375,M,S,2
288,65.15,3,3,1/5/2015,21.71666666666667,L,S,1
289,18.5,1,1,1/5/2015,18.5,L,L,1
290,28,2,2,1/5/2015,14,M,S,2
291,69,3,4,1/5/2015,17.416666666666668,L,M,2
292,36.75,2,2,1/5/2015,18.375,L,M,1
293,24.75,2,2,1/5/2015,12.375,S,S,2
294,58.25,3,3,1/5/2015,19.416666666666668,L,M,2
295,16.75,1,1,1/5/2015,16.75,M,M,1
296,40.75,3,3,1/5/2015,13.583333333333334,M,S,3
297,16.75,1,1,1/5/2015,16.75,M,M,1
298,58.25,4,4,1/5/2015,14.5625,M,S,2
299,28,2,2,1/5/2015,14,M,S,2
300,49.25,4,4,1/5/2015,12.3125,S,S,3
301,20.5,1,1,1/5/2015,20.5,L,L,1
302,20.75,1,1,1/5/2015,20.75,L,L,1
303,37.75,3,3,1/5/2015,12.583333333333334,M,S,1
304,30.75,2,2,1/5/2015,15.375,L,S,2
305,44,3,3,1/5/2015,14.666666666666666,L,S,2
306,38.5,3,3,1/5/2015,12.833333333333334,M,S,1
307,37.25,2,2,1/5/2015,18.625,L,M,2
308,46.75,3,3,1/5/2015,15.583333333333334,L,S,2
309,35,2,2,1/6/2015,17.5,L,M,2
310,23.25,2,2,1/6/2015,11.625,S,S,2
311,20.25,1,1,1/6/2015,20.25,L,L,1
312,68.65,4,4,1/6/2015,17.1625,M,S,3
313,16,1,1,1/6/2015,16,M,M,1
314,80,5,5,1/6/2015,16,L,M,3
315,16,1,1,1/6/2015,16,M,M,1
316,27,2,2,1/6/2015,13.5,M,S,2
317,99.2,7,7,1/6/2015,14.171428571428573,L,S,4
318,74,4,4,1/6/2015,18.5,L,S,3
319,16.5,1,1,1/6/2015,16.5,M,M,1
320,37.5,2,2,1/6/2015,18.75,L,M,1
321,20.75,1,1,1/6/2015,20.75,L,L,1
322,74.25,4,4,1/6/2015,18.5625,L,S,2
323,16,1,1,1/6/2015,16,M,M,1
324,18.5,1,1,1/6/2015,18.5,L,L,1
325,24,2,2,1/6/2015,12,S,S,2
326,37.5,2,2,1/6/2015,18.75,L,M,2
327,16,1,1,1/6/2015,16,M,M,1
328,20.25,1,1,1/6/2015,20.25,L,L,1
329,37.25,2,2,1/6/2015,18.625,L,M,1
330,251.4,14,15,1/6/2015,16.675,L,S,4
331,16.5,1,1,1/6/2015,16.5,M,M,1
332,53.75,3,3,1/6/2015,17.916666666666668,L,M,2
333,16.75,1,1,1/6/2015,16.75,M,M,1
334,70.25,4,4,1/6/2015,17.5625,L,M,3
335,20.25,1,1,1/6/2015,20.25,L,L,1
336,20.75,1,1,1/6/2015,20.75,L,L,1
337,31.75,2,2,1/6/2015,15.875,L,L,1
338,66.5,3,3,1/6/2015,22.166666666666668,L,XL,3
339,16.5,1,1,1/6/2015,16.5,M,M,1
340,12.5,1,1,1/6/2015,12.5,S,S,1
341,26.5,2,2,1/6/2015,13.25,M,S,2
342,41,2,2,1/6/2015,20.5,L,L,2
343,33.25,2,2,1/6/2015,16.625,L,M,1
344,16,1,1,1/6/2015,16,M,M,1
345,24.5,2,2,1/6/2015,12.25,S,S,2
346,55,4,4,1/6/2015,13.75,L,S,2
347,57,3,3,1/6/2015,19,L,M,2
348,49.5,3,3,1/6/2015,16.5,L,S,2
349,15.25,1,1,1/6/2015,15.25,L,L,1
350,58,3,4,1/6/2015,15.166666666666666,L,S,2
351,25.25,2,2,1/6/2015,12.625,M,S,1
352,32.5,2,2,1/6/2015,16.25,L,S,1
353,54,3,3,1/6/2015,18,L,S,2
354,32.25,2,2,1/6/2015,16.125,L,S,1
355,33.25,2,2,1/6/2015,16.625,M,M,2
356,16.75,1,1,1/6/2015,16.75,M,M,1
357,45.5,3,3,1/6/2015,15.166666666666666,L,S,2
358,16.5,1,1,1/6/2015,16.5,M,M,1
359,36.75,2,2,1/6/2015,18.375,L,M,2
360,43.25,3,3,1/6/2015,14.416666666666666,L,S,3
361,36,2,3,1/6/2015,12,S,S,1
362,37,2,2,1/6/2015,18.5,L,M,2
363,40.5,2,2,1/6/2015,20.25,L,L,1
364,42,2,2,1/6/2015,21,M,XL,2
365,47.5,3,3,1/6/2015,15.833333333333334,L,M,2
366,20.5,1,1,1/6/2015,20.5,L,L,1
367,32.5,2,2,1/6/2015,16.25,L,M,2
368,37.25,2,2,1/6/2015,18.625,L,M,2
369,16,1,1,1/6/2015,16,M,M,1
370,28.45,2,2,1/6/2015,14.225,L,S,2
371,12.5,1,1,1/6/2015,12.5,M,M,1
372,12,1,1,1/6/2015,12,S,S,1
373,49,3,3,1/7/2015,16.333333333333332,L,S,3
374,41.25,3,3,1/7/2015,13.75,M,S,3
375,16,1,1,1/7/2015,16,M,M,1
376,45.75,2,2,1/7/2015,22.875,L,XL,2
377,34,2,2,1/7/2015,17,L,M,2
378,12.75,1,1,1/7/2015,12.75,S,S,1
379,20.75,1,1,1/7/2015,20.75,L,L,1
380,33,2,2,1/7/2015,16.5,M,M,2
381,16.75,1,1,1/7/2015,16.75,M,M,1
382,28.75,2,2,1/7/2015,14.375,M,S,2
383,16.5,1,1,1/7/2015,16.5,M,M,1
384,54.5,4,4,1/7/2015,13.625,M,S,2
385,20.25,1,1,1/7/2015,20.25,L,L,1
386,46,3,3,1/7/2015,15.333333333333334,M,S,3
387,102.5,7,7,1/7/2015,14.642857142857142,L,S,4
388,57.5,4,4,1/7/2015,14.375,M,S,2
389,20.75,1,1,1/7/2015,20.75,L,L,1
390,17.5,1,1,1/7/2015,17.5,L,L,1
391,16,1,1,1/7/2015,16,M,M,1
392,147,8,9,1/7/2015,17.15625,L,S,3
393,28.5,2,2,1/7/2015,14.25,L,S,2
394,202.75,12,14,1/7/2015,14.8125,L,S,4
395,16,1,1,1/7/2015,16,M,M,1
396,12,1,1,1/7/2015,12,S,S,1
397,66,3,4,1/7/2015,15.833333333333334,L,M,2
398,9.75,1,1,1/7/2015,9.75,S,S,1
399,68.25,4,4,1/7/2015,17.0625,L,M,3
400,33.25,2,2,1/7/2015,16.625,L,M,2
401,16,1,1,1/7/2015,16,M,M,1
402,34.45,2,2,1/7/2015,17.225,L,M,2
403,45.75,3,3,1/7/2015,15.25,L,S,3
404,20.75,1,1,1/7/2015,20.75,L,L,1
405,20.25,1,1,1/7/2015,20.25,L,L,1
406,45.5,3,3,1/7/2015,15.166666666666666,M,S,3
407,49.75,3,3,1/7/2015,16.583333333333332,L,M,2
408,40.15,2,2,1/7/2015,20.075,M,S,1
409,15.25,1,1,1/7/2015,15.25,L,L,1
410,65.5,3,4,1/7/2015,17.833333333333332,M,XL,2
411,37.25,2,2,1/7/2015,18.625,L,M,2
412,40.15,2,2,1/7/2015,20.075,M,S,1
413,12,1,1,1/7/2015,12,S,S,1
414,47,3,3,1/7/2015,15.666666666666666,L,S,3
415,12.75,1,1,1/7/2015,12.75,S,S,1
416,20.25,1,1,1/7/2015,20.25,L,L,1
417,9.75,1,1,1/7/2015,9.75,S,S,1
418,33,2,2,1/7/2015,16.5,M,M,2
419,66,4,4,1/7/2015,16.5,L,S,3
420,29.5,2,2,1/7/2015,14.75,L,S,2
421,53.75,3,3,1/7/2015,17.916666666666668,L,S,2
422,50.45,3,3,1/7/2015,16.816666666666666,L,M,2
423,33,2,2,1/7/2015,16.5,L,S,1
424,12.5,1,1,1/7/2015,12.5,M,M,1
425,16.5,1,1,1/7/2015,16.5,M,M,1
426,44.75,3,3,1/7/2015,14.916666666666666,M,S,2
427,20.25,1,1,1/7/2015,20.25,L,L,1
428,32.25,2,2,1/7/2015,16.125,L,S,2
429,16.5,1,1,1/7/2015,16.5,M,M,1
430,28.25,2,2,1/7/2015,14.125,M,S,2
431,59.2,4,4,1/8/2015,14.8,L,S,3
432,44.75,3,3,1/8/2015,14.916666666666666,L,S,3
433,20.75,1,1,1/8/2015,20.75,L,L,1
434,57,3,3,1/8/2015,19,L,M,3
435,43,3,3,1/8/2015,14.333333333333334,M,S,2
436,60.5,4,4,1/8/2015,15.125,L,S,2
437,16.75,1,1,1/8/2015,16.75,M,M,1
438,16,1,1,1/8/2015,16,M,M,1
439,41.25,3,3,1/8/2015,13.75,M,S,2
440,242.7,14,14,1/8/2015,17.335714285714285,L,S,4
441,41.5,2,2,1/8/2015,20.75,L,L,2
442,20.75,1,1,1/8/2015,20.75,L,L,1
443,251.45,14,15,1/8/2015,16.764285714285712,L,S,4
444,14.75,1,1,1/8/2015,14.75,M,M,1
445,16.5,1,1,1/8/2015,16.5,L,L,1
446,49,3,3,1/8/2015,16.333333333333332,L,S,3
447,18.5,1,1,1/8/2015,18.5,L,L,1
448,41.25,3,3,1/8/2015,13.75,M,S,2
449,20.75,1,1,1/8/2015,20.75,L,L,1
450,12,1,1,1/8/2015,12,S,S,1
451,55.25,3,3,1/8/2015,18.416666666666668,L,M,3
452,45,3,3,1/8/2015,15,M,S,3
453,67.7,4,4,1/8/2015,16.925,L,S,3
454,16.5,1,1,1/8/2015,16.5,M,M,1
455,20.75,1,1,1/8/2015,20.75,L,L,1
456,20.25,1,1,1/8/2015,20.25,L,L,1
457,53.5,3,3,1/8/2015,17.833333333333332,L,M,2
458,45,3,3,1/8/2015,15,M,S,2
459,20.75,1,1,1/8/2015,20.75,L,L,1
460,28.5,2,2,1/8/2015,14.25,M,S,2
461,27.25,2,2,1/8/2015,13.625,M,S,2
462,12,1,1,1/8/2015,12,S,S,1
463,37.25,2,2,1/8/2015,18.625,L,M,2
464,37,2,2,1/8/2015,18.5,L,M,2
465,12,1,1,1/8/2015,12,S,S,1
466,45.75,2,2,1/8/2015,22.875,L,XL,2
467,12.5,1,1,1/8/2015,12.5,S,S,1
468,33.2,2,2,1/8/2015,16.6,L,L,2
469,29,2,2,1/8/2015,14.5,M,S,2
470,12,1,1,1/8/2015,12,S,S,1
471,12.75,1,1,1/8/2015,12.75,S,S,1
472,37.75,2,2,1/8/2015,18.875,L,M,1
473,49.75,3,3,1/8/2015,16.583333333333332,L,M,3
474,21.75,2,2,1/8/2015,10.875,S,S,2
475,32.75,2,2,1/8/2015,16.375,L,S,2
476,49.25,3,3,1/8/2015,16.416666666666668,L,M,3
477,32,2,2,1/8/2015,16,M,M,1
478,33,2,2,1/8/2015,16.5,M,M,2
479,59.5,2,3,1/8/2015,19.5,L,L,2
480,12.5,1,1,1/8/2015,12.5,M,M,1
481,21.75,2,2,1/8/2015,10.875,S,S,2
482,49.25,3,3,1/8/2015,16.416666666666668,L,S,2
483,60.25,4,4,1/8/2015,15.0625,L,S,3
484,38.2,2,2,1/8/2015,19.1,L,L,1
485,16.75,1,1,1/8/2015,16.75,M,M,1
486,12.5,1,1,1/8/2015,12.5,S,S,1
487,51,3,3,1/8/2015,17,L,S,3
488,16,1,1,1/8/2015,16,M,M,1
489,20.75,1,1,1/8/2015,20.75,L,L,1
490,44,3,3,1/8/2015,14.666666666666666,M,S,1
491,64.5,4,4,1/8/2015,16.125,L,S,2
492,53,3,3,1/8/2015,17.666666666666668,L,M,3
493,20.75,1,1,1/8/2015,20.75,L,L,1
494,77.45,4,4,1/8/2015,19.3625,L,L,2
495,36.75,2,2,1/8/2015,18.375,L,M,1
496,29,2,2,1/8/2015,14.5,L,S,2
497,12,1,1,1/8/2015,12,S,S,1
498,16.5,1,1,1/8/2015,16.5,M,M,1
499,60.7,4,4,1/8/2015,15.175,L,S,3
500,16,1,1,1/8/2015,16,M,M,1
501,44,3,3,1/8/2015,14.666666666666666,L,S,2
502,16.75,1,1,1/8/2015,16.75,M,M,1
503,31.5,2,2,1/9/2015,15.75,L,M,2
504,20.5,1,1,1/9/2015,20.5,L,L,1
505,38,2,2,1/9/2015,19,M,XL,1
506,16,1,1,1/9/2015,16,M,M,1
507,12.75,1,1,1/9/2015,12.75,S,S,1
508,42,3,3,1/9/2015,14,M,S,2
509,20.75,1,1,1/9/2015,20.75,L,L,1
510,69.5,4,4,1/9/2015,17.375,L,S,2
511,18.5,1,1,1/9/2015,18.5,L,L,1
512,16.75,1,1,1/9/2015,16.75,M,M,1
513,70.7,4,4,1/9/2015,17.675,L,M,3
514,12,1,1,1/9/2015,12,S,S,1
515,41,2,2,1/9/2015,20.5,L,L,2
516,40.75,2,2,1/9/2015,20.375,L,L,2
517,16,1,1,1/9/2015,16,M,M,1
